experiment,preprocess,metadata,macro_f1,macro_recall,roc_auc,melanoma_recall,macro_precision,map,brier_score,akiec_precision,akiec_recall,akiec_f1,akiec_auc,bcc_precision,bcc_recall,bcc_f1,bcc_auc,bkl_precision,bkl_recall,bkl_f1,bkl_auc,df_precision,df_recall,df_f1,df_auc,mel_precision,mel_recall,mel_f1,mel_auc,nv_precision,nv_recall,nv_f1,nv_auc,vasc_precision,vasc_recall,vasc_f1,vasc_auc
prep_none__meta_none,none,none,0.7542,0.8117,0.968,0.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prep_dullrazor__meta_none,dullrazor,none,0.7327,0.8026,0.9687,0.6886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prep_colorconstancy__meta_none,colorconstancy,none,0.77,0.8295,0.9692,0.6647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prep_both__meta_none,both,none,0.7208,0.7776,0.9582,0.6647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prep_colorconstancy__meta_age+sex+localization,colorconstancy,age+sex+localization,0.7651,0.8123,0.9676,0.6886,0.7302,0.8401,0.0374,0.6129,0.7755,0.6847,0.9765,0.7158,0.8831,0.7907,0.9914,0.6649,0.7818,0.7187,0.9525,0.8125,0.7647,0.7879,0.9981,0.5157,0.6886,0.5897,0.9063,0.9493,0.838,0.8902,0.95,0.84,0.9545,0.8936,0.9984
prep_colorconstancy__meta_sex,colorconstancy,sex,0.816,0.8544,0.9724,0.7605,0.7942,0.8815,0.0367,0.7288,0.8776,0.7963,0.9883,0.7816,0.8831,0.8293,0.9863,0.7174,0.8,0.7564,0.9525,1.0,0.8235,0.9032,0.9994,0.4903,0.7605,0.5962,0.9252,0.9611,0.836,0.8942,0.9553,0.88,1.0,0.9362,0.9998
prep_colorconstancy__meta_age,colorconstancy,age,0.7451,0.8096,0.9628,0.7246,0.6997,0.8335,0.041,0.5846,0.7755,0.6667,0.9821,0.7412,0.8182,0.7778,0.9782,0.6369,0.6909,0.6628,0.9334,0.7895,0.8824,0.8333,0.9871,0.4708,0.7246,0.5708,0.9111,0.9505,0.8211,0.8811,0.9482,0.7241,0.9545,0.8235,0.9996
prep_colorconstancy__meta_localization,colorconstancy,localization,0.6985,0.8064,0.9605,0.6527,0.6321,0.812,0.044,0.4316,0.8367,0.5694,0.9708,0.6606,0.9351,0.7742,0.9862,0.5801,0.6364,0.6069,0.9251,0.6364,0.8235,0.7179,0.9894,0.5023,0.6527,0.5677,0.904,0.9575,0.8062,0.8753,0.9491,0.6562,0.9545,0.7778,0.9987
prep_colorconstancy__meta_age+sex,colorconstancy,age+sex,0.7061,0.8112,0.9589,0.6048,0.6397,0.8168,0.0445,0.4872,0.7755,0.5984,0.9655,0.7209,0.8052,0.7607,0.9839,0.5191,0.7394,0.61,0.9296,0.64,0.9412,0.7619,0.9988,0.5206,0.6048,0.5596,0.8861,0.9612,0.8121,0.8804,0.9494,0.6286,1.0,0.7719,0.9993
prep_colorconstancy__meta_age+localization,colorconstancy,age+localization,0.761,0.8217,0.9707,0.8443,0.7309,0.8526,0.0426,0.5942,0.8367,0.6949,0.9767,0.75,0.8961,0.8166,0.9912,0.7039,0.6485,0.6751,0.9465,0.8667,0.7647,0.8125,0.9918,0.4534,0.8443,0.59,0.9324,0.9701,0.8072,0.8812,0.9565,0.7778,0.9545,0.8571,0.9995
prep_colorconstancy__meta_sex+localization,colorconstancy,sex+localization,0.7676,0.826,0.9687,0.6647,0.7238,0.8565,0.0363,0.629,0.7959,0.7027,0.9859,0.7753,0.8961,0.8313,0.9894,0.6747,0.6788,0.6767,0.9428,0.8421,0.9412,0.8889,0.9981,0.4744,0.6647,0.5536,0.9119,0.9469,0.8509,0.8963,0.9533,0.7241,0.9545,0.8235,0.9996
